timestamp,feedback,satisfaction
22/03/2025 18:14,Okay,3
31/03/2025 17:32,not good,2
29/03/2025 23:57,Terrible,1
24/03/2025 09:25,Great service!,5
,excellent!,5
25/03/2025 08:47,Helpful staff,4
25/03/2025 14:14,Loved it,5
29/03/2025 09:57,excellent!,5
26/03/2025 22:33,EXCELLENT,5
26/03/2025 06:44,ok,3
22/03/2025 23:31,Terrible,1
23/03/2025 06:09,Great service!,5
30/03/2025 18:57,Could be better,3
28/03/2025 14:24,not good,2
28/03/2025 10:27,Fast and easy,4
30/03/2025 07:50,Very helpful,
28/03/2025 11:34,not good,2
30/03/2025 13:00,Slow response,2
27/03/2025 14:53,ok,3
28/03/2025 22:53,Could be better,3
21/03/2025 21:17,Helpful staff,4
23/03/2025 19:07,excellent!,5
26/03/2025 16:15,Amazing help,5
25/03/2025 11:54,Confusing website,2
31/03/2025 03:23,Prompt response,4
23/03/2025 05:55,EXCELLENT,5
26/03/2025 17:10,Slow response,2
24/03/2025 06:09,Great service!,5
31/03/2025 12:14,great Service,5
29/03/2025 15:59,excellent!,5
23/03/2025 15:39,Okay,3
26/03/2025 12:07,Loved it,5
27/03/2025 20:51,Okay,3
22/03/2025 21:14,clear instructions,4
31/03/2025 16:01,clear instructions,4
28/03/2025 14:18,Terrible,1
23/03/2025 08:31,clear instructions,4
,Confusing website,2
25/03/2025 11:32,Great service!,5
29/03/2025 07:52,ok,3
26/03/2025 17:17,Rude support,
28/03/2025 04:19,ok,3
26/03/2025 22:08,clear instructions,4
23/03/2025 13:58,excellent!,5
25/03/2025 12:57,Helpful staff,4
28/03/2025 11:47,great Service,5
28/03/2025 07:43,EXCELLENT,5
,ok,3
27/03/2025 06:58,Rude support,1
25/03/2025 02:54,EXCELLENT,5
